Date,Value,Measure
2013-05-01,2,Total pay (annual growth)
2013-06-01,1.1,Total pay (annual growth)
2013-07-01,0.7,Total pay (annual growth)
2013-08-01,0.7,Total pay (annual growth)
2013-09-01,0.8,Total pay (annual growth)
2013-10-01,0.8,Total pay (annual growth)
2013-11-01,1,Total pay (annual growth)
2013-12-01,1.2,Total pay (annual growth)
2014-01-01,1.7,Total pay (annual growth)
2014-02-01,1.6,Total pay (annual growth)
2014-03-01,0.6,Total pay (annual growth)
2014-04-01,0,Total pay (annual growth)
2014-05-01,-0.1,Total pay (annual growth)
2014-06-01,0.4,Total pay (annual growth)
2014-07-01,0.6,Total pay (annual growth)
2014-08-01,0.9,Total pay (annual growth)
2014-09-01,1.4,Total pay (annual growth)
2014-10-01,1.7,Total pay (annual growth)
2014-11-01,2,Total pay (annual growth)
2014-12-01,1.9,Total pay (annual growth)
2015-01-01,1.7,Total pay (annual growth)
2015-02-01,2.3,Total pay (annual growth)
2015-03-01,2.7,Total pay (annual growth)
2015-04-01,3.1,Total pay (annual growth)
2015-05-01,2.5,Total pay (annual growth)
2015-06-01,2.8,Total pay (annual growth)
2015-07-01,3,Total pay (annual growth)
2015-08-01,2.9,Total pay (annual growth)
2015-09-01,2.4,Total pay (annual growth)
2015-10-01,2,Total pay (annual growth)
2015-11-01,1.9,Total pay (annual growth)
2015-12-01,2.2,Total pay (annual growth)
2016-01-01,2,Total pay (annual growth)
2016-02-01,2.3,Total pay (annual growth)
2016-03-01,2.2,Total pay (annual growth)
2016-04-01,2.5,Total pay (annual growth)
2016-05-01,2.5,Total pay (annual growth)
2016-06-01,2.5,Total pay (annual growth)
2016-07-01,2.4,Total pay (annual growth)
2016-08-01,2.4,Total pay (annual growth)
2016-09-01,2.4,Total pay (annual growth)
2016-10-01,2.7,Total pay (annual growth)
2016-11-01,2.5,Total pay (annual growth)
2016-12-01,2.1,Total pay (annual growth)
2017-01-01,2.1,Total pay (annual growth)
2017-02-01,2.2,Total pay (annual growth)
2017-03-01,2.2,Total pay (annual growth)
2017-04-01,2,Total pay (annual growth)
2017-05-01,2.3,Total pay (annual growth)
2017-06-01,2.2,Total pay (annual growth)
2017-07-01,2.3,Total pay (annual growth)
2017-08-01,2.3,Total pay (annual growth)
2017-09-01,2.5,Total pay (annual growth)
2017-10-01,2.5,Total pay (annual growth)
2017-11-01,2.6,Total pay (annual growth)
2017-12-01,2.7,Total pay (annual growth)
2018-01-01,2.8,Total pay (annual growth)
2018-02-01,2.9,Total pay (annual growth)
2018-03-01,2.7,Total pay (annual growth)
2018-04-01,2.6,Total pay (annual growth)
2018-05-01,2.2,Total pay (annual growth)
2018-06-01,2.6,Total pay (annual growth)
2018-07-01,2.8,Total pay (annual growth)
2018-08-01,3.1,Total pay (annual growth)
2018-09-01,3.4,Total pay (annual growth)
2018-10-01,3.4,Total pay (annual growth)
2018-11-01,3.5,Total pay (annual growth)
2018-12-01,3.3,Total pay (annual growth)
2019-01-01,3.5,Total pay (annual growth)
2019-02-01,3.3,Total pay (annual growth)
2019-03-01,3.4,Total pay (annual growth)
2019-04-01,3.5,Total pay (annual growth)
2019-05-01,3.9,Total pay (annual growth)
2019-06-01,3.9,Total pay (annual growth)
2019-07-01,3.7,Total pay (annual growth)
2019-08-01,3.8,Total pay (annual growth)
2019-09-01,3.3,Total pay (annual growth)
2019-10-01,3.2,Total pay (annual growth)
2019-11-01,2.7,Total pay (annual growth)
2019-12-01,2.9,Total pay (annual growth)
2020-01-01,2.8,Total pay (annual growth)
2020-02-01,2.5,Total pay (annual growth)
2020-03-01,1.1,Total pay (annual growth)
2020-04-01,-0.3,Total pay (annual growth)
2020-05-01,-1.3,Total pay (annual growth)
2020-06-01,-1,Total pay (annual growth)
2020-07-01,0.1,Total pay (annual growth)
2020-08-01,1.4,Total pay (annual growth)
2020-09-01,2.7,Total pay (annual growth)
2020-10-01,3.7,Total pay (annual growth)
2020-11-01,4.6,Total pay (annual growth)
2020-12-01,4.7,Total pay (annual growth)
2021-01-01,4.5,Total pay (annual growth)
2021-02-01,4.3,Total pay (annual growth)
2021-03-01,5.8,Total pay (annual growth)
2021-04-01,7.4,Total pay (annual growth)
2021-05-01,8.8,Total pay (annual growth)
2021-06-01,8.3,Total pay (annual growth)
2021-07-01,7.2,Total pay (annual growth)
2021-08-01,5.8,Total pay (annual growth)
2007-09-01,4.4,Regular pay (annual growth)
2007-10-01,4.2,Regular pay (annual growth)
2007-11-01,4,Regular pay (annual growth)
2007-12-01,4.1,Regular pay (annual growth)
2008-01-01,4.1,Regular pay (annual growth)
2008-02-01,4.2,Regular pay (annual growth)
2008-03-01,4.4,Regular pay (annual growth)
2008-04-01,4.2,Regular pay (annual growth)
2008-05-01,4,Regular pay (annual growth)
2008-06-01,3.6,Regular pay (annual growth)
2008-07-01,3.4,Regular pay (annual growth)
2008-08-01,3.3,Regular pay (annual growth)
2008-09-01,3.4,Regular pay (annual growth)
2008-10-01,3.4,Regular pay (annual growth)
2008-11-01,3.3,Regular pay (annual growth)
2008-12-01,3.1,Regular pay (annual growth)
2009-01-01,2.9,Regular pay (annual growth)
2009-02-01,2.5,Regular pay (annual growth)
2009-03-01,2.2,Regular pay (annual growth)
2009-04-01,2,Regular pay (annual growth)
2009-05-01,2,Regular pay (annual growth)
2009-06-01,1.9,Regular pay (annual growth)
2009-07-01,1.6,Regular pay (annual growth)
2009-08-01,1.4,Regular pay (annual growth)
2009-09-01,1.2,Regular pay (annual growth)
2009-10-01,1.1,Regular pay (annual growth)
2009-11-01,1.1,Regular pay (annual growth)
2009-12-01,1.4,Regular pay (annual growth)
2010-01-01,1.6,Regular pay (annual growth)
2010-02-01,1.8,Regular pay (annual growth)
2010-03-01,1.7,Regular pay (annual growth)
2010-04-01,1.6,Regular pay (annual growth)
2010-05-01,1.3,Regular pay (annual growth)
2010-06-01,1.6,Regular pay (annual growth)
2010-07-01,2,Regular pay (annual growth)
2010-08-01,2.2,Regular pay (annual growth)
2010-09-01,2.2,Regular pay (annual growth)
2010-10-01,2.3,Regular pay (annual growth)
2010-11-01,2.2,Regular pay (annual growth)
2010-12-01,2.2,Regular pay (annual growth)
2011-01-01,2.1,Regular pay (annual growth)
2011-02-01,2,Regular pay (annual growth)
2011-03-01,2,Regular pay (annual growth)
2011-04-01,2,Regular pay (annual growth)
2011-05-01,2.1,Regular pay (annual growth)
2011-06-01,2,Regular pay (annual growth)
2011-07-01,1.7,Regular pay (annual growth)
2011-08-01,1.6,Regular pay (annual growth)
2011-09-01,1.7,Regular pay (annual growth)
2011-10-01,1.8,Regular pay (annual growth)
2011-11-01,1.9,Regular pay (annual growth)
2011-12-01,1.6,Regular pay (annual growth)
2012-01-01,1.5,Regular pay (annual growth)
2012-02-01,1.5,Regular pay (annual growth)
2012-03-01,1.7,Regular pay (annual growth)
2012-04-01,1.7,Regular pay (annual growth)
2012-05-01,1.8,Regular pay (annual growth)
2012-06-01,1.8,Regular pay (annual growth)
2012-07-01,2,Regular pay (annual growth)
2012-08-01,1.8,Regular pay (annual growth)
2012-09-01,1.6,Regular pay (annual growth)
2012-10-01,1.4,Regular pay (annual growth)
2012-11-01,1.3,Regular pay (annual growth)
2012-12-01,1.2,Regular pay (annual growth)
2013-01-01,1,Regular pay (annual growth)
2013-02-01,0.8,Regular pay (annual growth)
2013-03-01,0.9,Regular pay (annual growth)
2013-04-01,0.9,Regular pay (annual growth)
2013-05-01,1,Regular pay (annual growth)
2013-06-01,0.9,Regular pay (annual growth)
2013-07-01,0.7,Regular pay (annual growth)
2013-08-01,0.7,Regular pay (annual growth)
2013-09-01,0.7,Regular pay (annual growth)
2013-10-01,0.7,Regular pay (annual growth)
2013-11-01,0.9,Regular pay (annual growth)
2013-12-01,1.1,Regular pay (annual growth)
2014-01-01,1.3,Regular pay (annual growth)
2014-02-01,1.1,Regular pay (annual growth)
2014-03-01,0.7,Regular pay (annual growth)
2014-04-01,0.6,Regular pay (annual growth)
2014-05-01,0.5,Regular pay (annual growth)
2014-06-01,0.6,Regular pay (annual growth)
2014-07-01,0.8,Regular pay (annual growth)
2014-08-01,1.1,Regular pay (annual growth)
2014-09-01,1.5,Regular pay (annual growth)
2014-10-01,1.7,Regular pay (annual growth)
2014-11-01,1.6,Regular pay (annual growth)
2014-12-01,1.5,Regular pay (annual growth)
2015-01-01,1.8,Regular pay (annual growth)
2015-02-01,2.2,Regular pay (annual growth)
2015-03-01,2.6,Regular pay (annual growth)
2015-04-01,2.7,Regular pay (annual growth)
2015-05-01,2.7,Regular pay (annual growth)
2015-06-01,2.8,Regular pay (annual growth)
2015-07-01,2.7,Regular pay (annual growth)
2015-08-01,2.4,Regular pay (annual growth)
2015-09-01,2,Regular pay (annual growth)
2015-10-01,1.9,Regular pay (annual growth)
2015-11-01,1.9,Regular pay (annual growth)
2015-12-01,2.2,Regular pay (annual growth)
2016-01-01,2.2,Regular pay (annual growth)
2016-02-01,2.3,Regular pay (annual growth)
2016-03-01,2.3,Regular pay (annual growth)
2016-04-01,2.2,Regular pay (annual growth)
2016-05-01,2.3,Regular pay (annual growth)
2016-06-01,2.2,Regular pay (annual growth)
2016-07-01,2.3,Regular pay (annual growth)
2016-08-01,2.4,Regular pay (annual growth)
2016-09-01,2.5,Regular pay (annual growth)
2016-10-01,2.6,Regular pay (annual growth)
2016-11-01,2.5,Regular pay (annual growth)
2016-12-01,2.3,Regular pay (annual growth)
2017-01-01,2,Regular pay (annual growth)
2017-02-01,1.8,Regular pay (annual growth)
2017-03-01,1.8,Regular pay (annual growth)
2017-04-01,2,Regular pay (annual growth)
2017-05-01,2.1,Regular pay (annual growth)
2017-06-01,2.2,Regular pay (annual growth)
2017-07-01,2.1,Regular pay (annual growth)
2017-08-01,2.2,Regular pay (annual growth)
2017-09-01,2.3,Regular pay (annual growth)
2017-10-01,2.3,Regular pay (annual growth)
2017-11-01,2.4,Regular pay (annual growth)
2017-12-01,2.5,Regular pay (annual growth)
2018-01-01,2.8,Regular pay (annual growth)
2018-02-01,2.9,Regular pay (annual growth)
2018-03-01,2.9,Regular pay (annual growth)
2018-04-01,2.8,Regular pay (annual growth)
2018-05-01,2.7,Regular pay (annual growth)
2018-06-01,2.9,Regular pay (annual growth)
2018-07-01,3.1,Regular pay (annual growth)
2018-08-01,3.2,Regular pay (annual growth)
2018-09-01,3.3,Regular pay (annual growth)
2018-10-01,3.4,Regular pay (annual growth)
2018-11-01,3.4,Regular pay (annual growth)
2018-12-01,3.5,Regular pay (annual growth)
2019-01-01,3.4,Regular pay (annual growth)
2019-02-01,3.3,Regular pay (annual growth)
2019-03-01,3.4,Regular pay (annual growth)
2019-04-01,3.6,Regular pay (annual growth)
2019-05-01,3.9,Regular pay (annual growth)
2019-06-01,3.9,Regular pay (annual growth)
2019-07-01,3.8,Regular pay (annual growth)
2019-08-01,3.6,Regular pay (annual growth)
2019-09-01,3.5,Regular pay (annual growth)
2019-10-01,3.3,Regular pay (annual growth)
2019-11-01,3.2,Regular pay (annual growth)
2019-12-01,3,Regular pay (annual growth)
2020-01-01,2.9,Regular pay (annual growth)
2020-02-01,2.7,Regular pay (annual growth)
2020-03-01,1.7,Regular pay (annual growth)
2020-04-01,0.7,Regular pay (annual growth)
2020-05-01,-0.2,Regular pay (annual growth)
2020-06-01,0.2,Regular pay (annual growth)
2020-07-01,0.9,Regular pay (annual growth)
2020-08-01,1.9,Regular pay (annual growth)
2020-09-01,2.8,Regular pay (annual growth)
2020-10-01,3.6,Regular pay (annual growth)
2020-11-01,4.1,Regular pay (annual growth)
2020-12-01,4.3,Regular pay (annual growth)
2021-01-01,4.4,Regular pay (annual growth)
2021-02-01,4.6,Regular pay (annual growth)
2021-03-01,5.7,Regular pay (annual growth)
2021-04-01,6.6,Regular pay (annual growth)
2021-05-01,7.3,Regular pay (annual growth)
2021-06-01,6.8,Regular pay (annual growth)
2021-07-01,6,Regular pay (annual growth)
2021-08-01,4.9,Regular pay (annual growth)
