Date,Transport type,Percentage
2020-03-01,National rail,97.0
2020-03-02,National rail,94.0
2020-03-03,National rail,95.0
2020-03-04,National rail,95.0
2020-03-05,National rail,97.0
2020-03-06,National rail,99.0
2020-03-07,National rail,99.0
2020-03-08,National rail,99.0
2020-03-09,National rail,100.0
2020-03-10,National rail,99.0
2020-03-11,National rail,98.0
2020-03-12,National rail,96.0
2020-03-13,National rail,92.0
2020-03-14,National rail,89.0
2020-03-15,National rail,85.0
2020-03-16,National rail,78.0
2020-03-17,National rail,69.0
2020-03-18,National rail,59.0
2020-03-19,National rail,51.0
2020-03-20,National rail,43.0
2020-03-21,National rail,37.0
2020-03-22,National rail,33.0
2020-03-23,National rail,25.0
2020-03-24,National rail,20.0
2020-03-25,National rail,16.0
2020-03-26,National rail,13.0
2020-03-27,National rail,10.0
2020-03-28,National rail,9.0
2020-03-29,National rail,8.0
2020-03-30,National rail,6.0
2020-03-31,National rail,5.0
2020-04-01,National rail,5.0
2020-04-02,National rail,5.0
2020-04-03,National rail,5.0
2020-04-04,National rail,5.0
2020-04-05,National rail,5.0
2020-04-06,National rail,5.0
2020-04-07,National rail,5.0
2020-04-08,National rail,5.0
2020-04-09,National rail,5.0
2020-04-10,National rail,4.0
2020-04-11,National rail,4.0
2020-04-12,National rail,4.0
2020-04-13,National rail,4.0
2020-04-14,National rail,4.0
2020-04-15,National rail,4.0
2020-04-16,National rail,4.0
2020-04-17,National rail,5.0
2020-04-18,National rail,5.0
2020-04-19,National rail,5.0
2020-04-20,National rail,6.0
2020-04-21,National rail,5.0
2020-04-22,National rail,5.0
2020-04-23,National rail,5.0
2020-04-24,National rail,4.0
2020-04-25,National rail,4.0
2020-04-26,National rail,4.0
2020-04-27,National rail,4.0
2020-04-28,National rail,4.0
2020-04-29,National rail,4.0
2020-04-30,National rail,4.0
2020-05-01,National rail,4.0
2020-05-02,National rail,4.0
2020-05-03,National rail,4.0
2020-05-04,National rail,5.0
2020-05-05,National rail,5.0
2020-05-06,National rail,5.0
2020-05-07,National rail,5.0
2020-05-08,National rail,5.0
2020-05-09,National rail,5.0
2020-05-10,National rail,5.0
2020-05-11,National rail,5.0
2020-05-12,National rail,5.0
2020-05-13,National rail,5.0
2020-05-14,National rail,5.0
2020-05-15,National rail,6.0
2020-05-16,National rail,6.0
2020-05-17,National rail,6.0
2020-05-18,National rail,6.0
2020-05-19,National rail,7.0
2020-05-20,National rail,7.0
2020-05-21,National rail,7.0
2020-05-22,National rail,7.0
2020-05-23,National rail,7.0
2020-05-24,National rail,7.0
2020-05-25,National rail,7.0
2020-05-26,National rail,7.0
2020-05-27,National rail,7.0
2020-05-28,National rail,7.0
2020-05-29,National rail,8.0
2020-05-30,National rail,8.0
2020-05-31,National rail,8.0
2020-06-01,National rail,8.0
2020-06-02,National rail,9.0
2020-06-03,National rail,10.0
2020-06-04,National rail,10.0
2020-06-05,National rail,11.0
2020-06-06,National rail,11.0
2020-06-07,National rail,12.0
2020-06-08,National rail,13.0
2020-06-09,National rail,13.0
2020-06-10,National rail,12.0
2020-06-11,National rail,12.0
2020-06-12,National rail,12.0
2020-06-13,National rail,13.0
2020-06-14,National rail,12.0
2020-06-15,National rail,12.0
2020-06-16,National rail,13.0
2020-06-17,National rail,13.0
2020-06-18,National rail,14.0
2020-06-19,National rail,14.0
2020-06-20,National rail,15.0
