date,region,value
Oct-Dec 2019,London,12.9
Jan-March 2022,London,37.8
Oct-Dec 2019,South East,17.3
Jan-March 2022,South East,35.5
Oct-Dec 2019,East of England,13.5
Jan-March 2022,East of England,31.5
Oct-Dec 2019,South West,14.4
Jan-March 2022,South West,28.4
Oct-Dec 2019,East Midlands,12.4
Jan-March 2022,East Midlands,28.1
Oct-Dec 2020,North West,9.5
Jan-March 2023,North West,25.8
Oct-Dec 2021,West Midlands,10.8
Jan-March 2024,West Midlands,25.5
Oct-Dec 2022,Yorkshire & The Humber,11.3
Jan-March 2025,Yorkshire & The Humber,25.7
Oct-Dec 2023,North East,9.4
Jan-March 2026,North East,20.7
