Date,DJIA Index
1918-01-02,76.68
1918-01-03,76.18
1918-01-04,75.56
1918-01-07,74.86
1918-01-08,74.63
1918-01-09,75.61
1918-01-10,76.33
1918-01-11,75.00
1918-01-14,73.48
1918-01-15,73.38
1918-01-16,74.60
1918-01-17,74.48
1918-01-18,74.55
1918-01-21,76.11
1918-01-22,75.75
1918-01-23,75.43
1918-01-24,75.92
1918-01-25,76.50
1918-01-29,77.13
1918-01-30,76.98
1918-01-31,79.80
1918-02-01,79.28
1918-02-05,79.28
1918-02-06,78.93
1918-02-07,77.78
1918-02-08,78.44
1918-02-13,78.73
1918-02-14,78.71
1918-02-15,79.96
1918-02-18,81.53
1918-02-19,82.08
1918-02-20,81.28
1918-02-21,80.53
1918-02-25,79.17
1918-02-26,80.65
1918-02-27,80.50
1918-02-28,80.39
1918-03-01,79.93
1918-03-04,79.01
1918-03-05,79.50
1918-03-06,79.20
1918-03-07,79.53
1918-03-08,79.50
1918-03-11,79.78
1918-03-12,78.67
1918-03-13,78.68
1918-03-14,79.13
1918-03-15,79.06
1918-03-18,77.93
1918-03-19,78.13
1918-03-20,78.14
1918-03-21,78.71
1918-03-22,77.71
1918-03-25,76.45
1918-03-26,76.49
1918-03-27,76.72
1918-03-28,76.41
1918-04-01,77.16
1918-04-02,76.69
1918-04-03,77.01
1918-04-04,77.42
1918-04-05,77.03
1918-04-08,77.69
1918-04-09,77.40
1918-04-10,76.85
1918-04-11,75.58
1918-04-12,76.25
1918-04-15,77.51
1918-04-16,77.21
1918-04-17,76.89
1918-04-18,78.11
1918-04-19,78.60
1918-04-22,79.42
1918-04-23,78.30
1918-04-24,78.01
1918-04-25,77.88
1918-04-26,78.23
1918-04-29,77.79
1918-04-30,77.51
1918-05-01,78.16
1918-05-02,78.90
1918-05-03,78.64
1918-05-06,79.36
1918-05-07,80.51
1918-05-08,80.32
1918-05-09,81.30
1918-05-10,81.29
1918-05-13,82.16
1918-05-14,82.21
1918-05-15,84.04
1918-05-16,84.03
1918-05-17,83.50
1918-05-20,82.47
1918-05-21,82.87
1918-05-22,82.22
1918-05-23,82.21
1918-05-24,81.58
1918-05-27,78.65
1918-05-28,78.42
1918-05-29,78.44
1918-05-31,78.08
1918-06-03,78.55
1918-06-04,79.60
1918-06-05,79.54
1918-06-06,78.95
1918-06-07,78.53
1918-06-10,78.93
1918-06-11,79.10
1918-06-12,79.76
1918-06-13,80.53
1918-06-14,80.61
1918-06-17,80.61
1918-06-18,80.98
1918-06-19,80.93
1918-06-20,81.83
1918-06-21,81.65
1918-06-24,82.50
1918-06-25,82.40
1918-06-26,83.02
1918-06-27,82.78
1918-06-28,82.58
1918-07-01,81.81
1918-07-02,81.98
1918-07-03,82.49
1918-07-05,82.96
1918-07-08,82.60
1918-07-09,82.76
1918-07-10,82.09
1918-07-11,81.09
1918-07-12,81.23
1918-07-15,80.58
1918-07-16,81.71
1918-07-17,81.45
1918-07-18,82.92
1918-07-19,82.31
1918-07-22,81.22
1918-07-23,80.51
1918-07-24,80.93
1918-07-25,81.28
1918-07-26,81.51
1918-07-29,81.10
1918-07-30,80.79
1918-07-31,81.23
1918-08-01,80.71
1918-08-02,80.76
1918-08-05,81.57
1918-08-06,81.13
1918-08-07,80.97
1918-08-08,81.13
1918-08-09,81.65
1918-08-12,81.58
1918-08-13,81.68
1918-08-14,81.70
1918-08-15,81.58
1918-08-16,81.77
1918-08-19,81.63
1918-08-20,81.92
1918-08-21,81.91
1918-08-22,81.61
1918-08-23,82.15
1918-08-26,82.93
1918-08-27,83.01
1918-08-28,83.18
1918-08-29,82.73
1918-08-30,82.46
1918-09-03,83.84
1918-09-04,83.61
1918-09-05,83.63
1918-09-06,82.56
1918-09-09,81.80
1918-09-10,81.33
1918-09-11,80.46
1918-09-13,80.29
1918-09-16,81.48
1918-09-17,81.80
1918-09-18,81.92
1918-09-19,81.64
1918-09-20,81.96
1918-09-23,82.44
1918-09-24,82.80
1918-09-25,82.64
1918-09-26,82.84
1918-09-27,84.03
1918-09-30,84.68
1918-10-01,83.95
1918-10-02,84.45
1918-10-03,84.95
1918-10-04,85.31
1918-10-07,84.35
1918-10-08,84.30
1918-10-09,83.36
1918-10-10,84.15
1918-10-11,84.83
1918-10-14,86.35
1918-10-15,86.21
1918-10-16,86.63
1918-10-17,88.27
1918-10-18,89.07
1918-10-21,88.15
1918-10-22,87.79
1918-10-23,87.10
1918-10-24,87.10
1918-10-25,86.52
1918-10-28,87.28
1918-10-29,86.39
1918-10-30,84.08
1918-10-31,85.51
1918-11-01,85.53
1918-11-04,85.74
1918-11-06,86.62
1918-11-07,87.61
1918-11-08,87.66
1918-11-12,86.56
1918-11-13,86.12
1918-11-14,85.53
1918-11-15,86.15
1918-11-18,85.01
1918-11-19,84.68
1918-11-20,84.33
1918-11-21,83.84
1918-11-22,82.60
1918-11-25,79.87
1918-11-26,81.43
1918-11-27,80.16
1918-11-29,80.93
1918-12-02,81.13
1918-12-03,82.46
1918-12-04,82.45
1918-12-05,82.89
1918-12-06,82.45
1918-12-09,83.41
1918-12-10,84.50
1918-12-11,84.27
1918-12-12,83.53
1918-12-13,82.65
1918-12-16,83.23
1918-12-17,83.41
1918-12-18,83.01
1918-12-19,82.40
1918-12-20,81.72
1918-12-23,81.51
1918-12-24,80.59
1918-12-26,80.44
1918-12-27,81.17
1918-12-30,80.78
1918-12-31,82.20
1919-01-02,82.60
1919-01-03,83.35
1919-01-06,82.45
1919-01-07,82.44
1919-01-08,82.60
1919-01-09,82.76
1919-01-10,82.30
1919-01-13,81.79
1919-01-14,82.00
1919-01-15,82.40
1919-01-16,82.20
1919-01-17,81.35
1919-01-20,80.14
1919-01-21,79.88
1919-01-22,80.00
1919-01-23,80.20
1919-01-24,81.75
1919-01-27,81.47
1919-01-28,81.60
1919-01-29,80.56
1919-01-30,80.94
1919-01-31,80.61
1919-02-03,80.91
1919-02-04,81.08
1919-02-05,80.70
1919-02-06,79.68
1919-02-07,79.35
1919-02-10,79.65
1919-02-11,80.25
1919-02-13,81.07
1919-02-14,81.20
1919-02-17,82.55
1919-02-18,81.92
1919-02-19,82.58
1919-02-20,82.93
1919-02-21,84.21
1919-02-24,84.62
1919-02-25,84.61
1919-02-26,85.60
1919-02-27,85.68
1919-02-28,84.81
1919-03-03,85.58
1919-03-04,85.10
1919-03-05,84.24
