date,series,value
2020-02-07,Debit and credit cards,101.41
2020-02-14,Debit and credit cards,98.55
2020-02-21,Debit and credit cards,101.41
2020-02-28,Debit and credit cards,98.83
2020-03-06,Debit and credit cards,107.15
2020-03-13,Debit and credit cards,102.59
2020-03-20,Debit and credit cards,97.16
2020-03-27,Debit and credit cards,60.19
2020-04-03,Debit and credit cards,53.48
2020-04-09,Debit and credit cards,55.14
2020-04-17,Debit and credit cards,53.88
2020-04-24,Debit and credit cards,57.56
2020-05-01,Debit and credit cards,63.47
2020-05-07,Debit and credit cards,65.91
2020-05-15,Debit and credit cards,64.11
2020-05-22,Debit and credit cards,68.22
2020-05-29,Debit and credit cards,70.91
2020-06-05,Debit and credit cards,75.58
2020-06-12,Debit and credit cards,76.41
2020-06-19,Debit and credit cards,78.33
2020-06-26,Debit and credit cards,83.69
2020-07-03,Debit and credit cards,88.1
2020-07-10,Debit and credit cards,85.96
2020-07-17,Debit and credit cards,83.98
2020-07-24,Debit and credit cards,80.37
2020-07-31,Debit and credit cards,87.39
2020-08-07,Debit and credit cards,90.1
2020-08-14,Debit and credit cards,85.38
2020-08-21,Debit and credit cards,86.77
2020-08-28,Debit and credit cards,91.29
2020-09-04,Debit and credit cards,97.02
2020-09-11,Debit and credit cards,88.71
2020-09-18,Debit and credit cards,86.63
2020-09-25,Debit and credit cards,88.74
2020-10-02,Debit and credit cards,92.84
2020-10-09,Debit and credit cards,90.08
2020-10-16,Debit and credit cards,89.38
2020-10-23,Debit and credit cards,87.99
2020-10-30,Debit and credit cards,92.77
2020-11-06,Debit and credit cards,101.86
2020-11-13,Debit and credit cards,74.1
2020-11-20,Debit and credit cards,78.39
2020-11-27,Debit and credit cards,86.1
2020-12-04,Debit and credit cards,103.25
2020-12-11,Debit and credit cards,111.96
2020-12-18,Debit and credit cards,112.03
2020-12-24,Debit and credit cards,118
2020-12-31,Debit and credit cards,62.16
2021-01-08,Debit and credit cards,64.78
2021-01-15,Debit and credit cards,64.65
2021-01-22,Debit and credit cards,65.12
2021-01-29,Debit and credit cards,68.8
2021-02-05,Debit and credit cards,75.59
2021-02-12,Debit and credit cards,72.63
2021-02-19,Debit and credit cards,74.66
2021-02-26,Debit and credit cards,73.32
2021-03-05,Debit and credit cards,83.11
2021-03-12,Debit and credit cards,78.63
2021-03-19,Debit and credit cards,81.17
2021-03-26,Debit and credit cards,79.07
2021-04-01,Debit and credit cards,87.71
2021-04-09,Debit and credit cards,83.76
2021-04-16,Debit and credit cards,93.29
2021-04-23,Debit and credit cards,97.41
2021-04-30,Debit and credit cards,100.28
2021-05-07,Debit and credit cards,104.54
2021-05-14,Debit and credit cards,97.02
2021-05-21,Debit and credit cards,96.13
2021-05-28,Debit and credit cards,95.95
2021-06-04,Debit and credit cards,101.93
2021-06-11,Debit and credit cards,94.33
2021-06-18,Debit and credit cards,91.04
2021-06-25,Debit and credit cards,91.53
2021-07-02,Debit and credit cards,98
2021-07-09,Debit and credit cards,96.17
2021-07-16,Debit and credit cards,91.88
2021-07-23,Debit and credit cards,94.21
2021-07-30,Debit and credit cards,96.13
2021-08-06,Debit and credit cards,99.33
